License plate,Frame no.,Timestamp(seconds)
5-KKL-63,4,0.3333333333333333
5-KKL-63,8,0.6666666666666666
S-RX1-69,12,1.0
5-KKL-63,16,1.3333333333333333
5-KKL-63,20,1.6666666666666667
5-KKL-63,24,2.0
5-KKL-63,28,2.3333333333333335
X-RKL-63,32,2.6666666666666665
PX-F0-96,36,3.0
PX-F0-96,40,3.3333333333333335
PX-F0-96,44,3.6666666666666665
PX-F0-96,48,4.0
PX-F0-96,52,4.333333333333333
PX-F0-96,56,4.666666666666667
PX-F0-96,60,5.0
PX-F0-96,64,5.333333333333333
PX-F0-96,68,5.666666666666667
G7-MT-X1,84,7.0
97-N1-X0,100,8.333333333333334
88-S1V-9,108,9.0
BB-S1V-9,112,9.333333333333334
88-SLV-9,116,9.666666666666666
88-SLV-9,124,10.333333333333334
88-SLV-9,128,10.666666666666666
88-SLV-9,132,11.0
88-SLV-9,136,11.333333333333334
88-SLV-9,140,11.666666666666666
47-NS-M3,180,15.0
47-NS-M3,188,15.666666666666666
47-NS-M3,192,16.0
47-NS-M3,196,16.333333333333332
47-NS-M3,200,16.666666666666668
47-NS-M3,204,17.0
47-NS-M3,208,17.333333333333332
47-NS-M3,212,17.666666666666668
94-RV-BL,216,18.0
94-RV-BL,220,18.333333333333332
94-NV-BL,224,18.666666666666668
94-RV-BL,228,19.0
94-NV-B1,232,19.333333333333332
94-RV-BL,236,19.666666666666668
94-RV-BL,240,20.0
94-RV-BL,244,20.333333333333332
94-RV-BL,248,20.666666666666668
8-VX2-62,252,21.0
6-VX2-62,256,21.333333333333332
8-VX2-62,260,21.666666666666668
6-VX2-62,264,22.0
6-VX2-62,268,22.333333333333332
6-VX2-62,272,22.666666666666668
6-VX2-62,276,23.0
8-VX2-62,280,23.333333333333332
8-VX2-62,284,23.666666666666668
88-BB-TS,288,24.0
88-BB-TS,292,24.333333333333332
88-BB-TS,296,24.666666666666668
88-BB-TS,300,25.0
88-BB-T5,304,25.333333333333332
88-BB-TS,308,25.666666666666668
88-BB-TS,312,26.0
88-BB-TS,316,26.333333333333332
88-BB-TS,320,26.666666666666668
87-VB-TR,324,27.0
87-VB-TR,328,27.333333333333332
87-VB-TR,332,27.666666666666668
87-VB-TN,336,28.0
87-VB-TN,340,28.333333333333332
87-VB-TN,344,28.666666666666668
87-VB-TN,348,29.0
87-VB-TN,352,29.333333333333332
87-VB-TN,356,29.666666666666668
XL-LH-20,360,30.0
XL-LH-20,364,30.333333333333332
XL-LH-20,368,30.666666666666668
XL-LH-20,372,31.0
XL-LH-20,376,31.333333333333332
XL-LH-20,380,31.666666666666668
XL-LH-20,384,32.0
XL-LH-20,388,32.333333333333336
XL-LH-20,392,32.666666666666664
91-S2-GH,396,33.0
9T-S2-GM,400,33.333333333333336
91-SZ-GH,404,33.666666666666664
91-S2-GH,408,34.0
91-S2-GH,412,34.333333333333336
91-S2-GH,416,34.666666666666664
9T-S2-GH,420,35.0
91-S2-GM,424,35.333333333333336
91-S2-GH,428,35.666666666666664
60-LX-XP,432,36.0
60-LX-XP,436,36.333333333333336
60-LX-XP,444,37.0
60-LX-XP,448,37.333333333333336
60-LX-XP,452,37.666666666666664
60-LX-XP,456,38.0
60-LX-XP,460,38.333333333333336
60-LX-XP,464,38.666666666666664
2G-01-P6,476,39.666666666666664
G6-K0T-6,504,42.0
G6-X0T-6,508,42.333333333333336
G6-X0T-6,512,42.666666666666664
G6-K0T-6,516,43.0
G6-X0T-6,520,43.333333333333336
G6-K0T-6,524,43.666666666666664
G6-X0T-6,528,44.0
G6-K0T-6,532,44.333333333333336
10-PP0-2,540,45.0
10-PP0-2,544,45.333333333333336
10-PP0-2,548,45.666666666666664
10-PP0-2,552,46.0
10-PP0-2,556,46.333333333333336
10-PP0-2,560,46.666666666666664
10-PP0-2,564,47.0
10-PP0-2,568,47.333333333333336
10-PP0-2,572,47.666666666666664
99-TH-P2,576,48.0
99-TH-PZ,580,48.333333333333336
99-TH-PZ,584,48.666666666666664
99-TH-PZ,588,49.0
99-TH-PZ,596,49.666666666666664
99-TH-PZ,604,50.333333333333336
99-TH-PZ,608,50.666666666666664
87-SX-TJ,612,51.0
87-SX-TJ,616,51.333333333333336
87-SK-TJ,620,51.666666666666664
87-SX-TJ,624,52.0
87-SK-TJ,628,52.333333333333336
87-SX-TJ,632,52.666666666666664
87-SX-TJ,636,53.0
87-SK-TJ,640,53.333333333333336
87-SX-TJ,644,53.666666666666664
58-NFH-5,648,54.0
58-MFH-5,652,54.333333333333336
58-NFH-5,656,54.666666666666664
58-NFH-5,664,55.333333333333336
58-NFH-5,668,55.666666666666664
58-NFH-5,672,56.0
58-NFH-5,676,56.333333333333336
58-NFH-5,680,56.666666666666664
73-SV-NF,684,57.0
73-SV-NF,688,57.333333333333336
73-SV-NF,692,57.666666666666664
73-SV-NF,696,58.0
73-SV-NF,700,58.333333333333336
73-SV-NF,704,58.666666666666664
73-SV-NF,708,59.0
73-SV-NF,712,59.333333333333336
73-SV-NF,716,59.666666666666664
7-MT-B1X,720,60.0
49-HT-RX,724,60.333333333333336
49-HT-NX,728,60.666666666666664
49-HT-RX,732,61.0
49-HT-RX,736,61.333333333333336
49-HT-RX,740,61.666666666666664
49-HT-RX,748,62.333333333333336
49-HT-NX,752,62.666666666666664
3-KGD-6S,756,63.0
3-KGD-6S,760,63.333333333333336
3-KG0-65,764,63.666666666666664
3-KGD-65,768,64.0
3-KG0-65,772,64.33333333333333
3-KG0-65,776,64.66666666666667
3-KG0-6S,780,65.0
3-KG0-6S,788,65.66666666666667
TF-TB-20,792,66.0
TF-TB-20,796,66.33333333333333
TF-TB-20,800,66.66666666666667
TF-TB-20,804,67.0
TF-TB-20,808,67.33333333333333
TF-TB-20,812,67.66666666666667
TF-TB-20,816,68.0
TF-TB-20,820,68.33333333333333
TF-TB-20,824,68.66666666666667
T8-NHM-9,828,69.0
28-NVM-3,832,69.33333333333333
78-NVM-9,840,70.0
28-NHM-9,844,70.33333333333333
7B-NVM-9,848,70.66666666666667
7B-NHM-9,852,71.0
28-NVM-9,856,71.33333333333333
2B-NVM-9,860,71.66666666666667
04-HH-DT,864,72.0
04-HH-DT,868,72.33333333333333
04-HH-DT,872,72.66666666666667
04-HH-DT,876,73.0
04-HH-DT,880,73.33333333333333
04-HM-DT,884,73.66666666666667
04-HM-0T,888,74.0
04-HM-DT,892,74.33333333333333
15-TR-NV,900,75.0
1B-TR-NV,904,75.33333333333333
1B-TR-NV,912,76.0
1B-TR-NV,916,76.33333333333333
1B-TR-NV,920,76.66666666666667
1B-TR-NV,924,77.0
1B-TR-NV,928,77.33333333333333
1B-TR-NV,932,77.66666666666667
10-PFJ-8,936,78.0
10-PFJ-8,940,78.33333333333333
10-PFJ-8,944,78.66666666666667
10-PFJ-8,948,79.0
10-PFJ-8,952,79.33333333333333
10-PFJ-8,956,79.66666666666667
10-PFJ-8,960,80.0
10-PFJ-8,964,80.33333333333333
10-PFJ-8,968,80.66666666666667
RM-MM-98,972,81.0
RM-MH-98,976,81.33333333333333
NM-MM-98,980,81.66666666666667
RM-MM-98,984,82.0
RM-MH-98,988,82.33333333333333
RM-MM-98,992,82.66666666666667
NM-MM-98,996,83.0
NM-MH-98,1000,83.33333333333333
RM-MM-98,1004,83.66666666666667
BS-DJ-49,1044,87.0
BS-DJ-49,1048,87.33333333333333
BS-DJ-49,1052,87.66666666666667
BS-DJ-49,1056,88.0
BS-DJ-49,1060,88.33333333333333
BS-DJ-49,1064,88.66666666666667
BS-0J-49,1068,89.0
BS-DJ-49,1072,89.33333333333333
BS-0J-49,1076,89.66666666666667
41-JS-SB,1080,90.0
41-JS-SB,1084,90.33333333333333
41-TS-SB,1088,90.66666666666667
41-JS-SB,1092,91.0
4T-JS-SB,1096,91.33333333333333
41-JS-SB,1100,91.66666666666667
41-JS-SB,1104,92.0
41-JS-SB,1108,92.33333333333333
